,Unnamed: 0,fl,nl,pk_gold
0,0,ALWAYS ( ( offset >= get_size(file) ) -> ( return ( E )  WITH E . NFS4_OK WITH E . get_length(data)=0 WITH E . eof=TRUE ) ),"If the offset is greater than or equal to the size of the file, the status, NFS4_OK, is returned with a data length set to 0 (zero), and eof is set to TRUE.",A return B with C=>return ( E )  WITH E . A WITH E . B WITH E . C
1,1,ALWAYS ( ( count = 0  AND perm_ok ( E )  ) -> ( return ( E )  WITH E . NFS4_OK WITH E . get_length(data)=0 WITH E . current_eof ) ),"If the client specifies a count value of 0 (zero), the READ succeeds and returns 0 (zero) bytes of data (subject to access permissions checking).",subject to access permissions checking=>perm_ok ( E )  WITH E . cfh<SEP>return A and B and C=>return ( E )  WITH E . A WITH E . B WITH E . C
2,2,ALWAYS ( ( offset+count==get_size(file) OR offset+count>get_size(file) ) -> ( return ( E )  WITH E . eof=True OR NOT ( offset+count==get_size(file) OR offset+count>get_size(file) ) -> return ( E )  WITH E . eof=FALSE ) ),"If the READ ended at the end-of-file (formally, in a correctly formed READ request, if offset + count is equal to the size of the file), or the READ request extends beyond the size of the file (if offset + count is greater than the size of the file), eof is returned as TRUE ;otherwise, it is FALSE.",return A=>return ( E )  WITH E . A
3,3,ALWAYS ( ( NOT ( is_regular ( E )  WITH E . cfh ) ) -> ( return ( E )  WITH E . error ) ),"If the current filehandle is not a regular file, an error will be returned to the client.",current filehandle=>cfh<SEP>A is a regular file=>is_regular ( E )  WITH E . A<SEP>A returned=>return ( E )  WITH E . A
4,4,ALWAYS ( ( is_a_directory ( E )  WITH E . cfh ) -> ( return ( E )  WITH E . NFS4ERR_ISDIR OR NOT ( is_a_directory ( E )  WITH E . cfh ) -> return ( E )  WITH E . NFS4ERR_INVAL ) ),"In the case where the current filehandle represents a directory, NFS4ERR_ISDIR is returned; otherwise, NFS4ERR_INVAL is returned.",current filehandle=>cfh<SEP>A represents a directory=>is_a_directory ( E )  with E . A<SEP>return A=>return ( E )  WITH E . A
5,5,ALWAYS ( ( count=0 AND perm_ok ( E )  WITH E . cfh ) ->  ( return ( E )  WITH E . count=0 ) ),"If the count is 0 (zero), the WRITE will succeed and return a count of 0 (zero) subject to permissions checking.",subject to access permissions checking=>perm_ok ( E )  WITH E . cfh<SEP>return A=>return ( E )  WITH E . A
6,6,ALWAYS ( ( stable = FILE4_SYNC ) -> ( commit_all_data_and_md ( E )  WITH E . cfh NEXT return ( E )  ) ),"If stable is FILE_SYNC4, the server must commit the data written plus all file system metadata to stable storage before returning results.",commit data plus all metadata=>commit_all_data_and_md ( E )  with E . cfh<SEP>return=>return ( E )
7,7,ALWAYS ( ( stable = DATA_SYNC4 ) -> ( commit_data ( E )  WITH E . cfh AND commit_some_md ( E )  WITH E . cfh NEXT return ( E )  ) ),"If stable is DATA_SYNC4, then the server must commit all of the data to stable storage and enough of the metadata to retrieve the data before returning.",commit all data=>commit_data ( E )  with E . cfh<SEP>commit enough of the metadata=>commit_some_md ( E )  with E . cfh<SEP>return=>return ( E )
8,8,ALWAYS ( ( stable = UNSTABLE4 ) -> ( commit_any_or_none ( E )  WITH E . cfh NEXT return ( E )  ) ),"If stable is UNSTABLE4, the server is free to commit any part of the data and the metadata to stable storage,including all or none, before returning a reply to the client.",commit any data and metadata=>commit_any_or_none ( E )  WITH E . cfh<SEP>return=>return ( E )
9,9,ALWAYS ( ( commit_all_data_and_md ( E )  WITH E . cfh ) -> ( committed = FILE_SYNC4 ) ),"If the server committed all data and metadata to stable storage, committed should be set to FILE_SYNC4.",commit all data and metadata=>commit_all_data_and_md ( E )  with E . cfh
